"Reference","Value","Footprint","Qty","DigiKey Part Number","Mouser Part Number","Description","Manufacturer Part Number"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","17","445-173588-1-ND","810-FG28X7R1H104KNT6","Unpolarized capacitor, small symbol","FG28X7R1H104KNT06"
"C18","10uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","10-ECE-A1CKS100ICT-ND","667-ECE-A1CKS100I","Polarized capacitor, small symbol","ECE-A1CKS100I"
"JP1,JP2","Jumper_2_Open","library:Jumper_1x02_P2.54mm_Vertical-SolderBridge","2","","","Jumper, 2-pole, open",""
"JP3,JP4","Open","library:Jumper_1x02_P2.54mm_Vertical-SolderBridge","2","","","Jumper, 2-pole, open",""
"P1","Conn_02x13_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x13_P2.54mm_Vertical","1","H123833-ND","798-HIF3FB26DA254D71","Hirose Headers & Wire Housings 26P STRT SOCKET T/H LOW PROF CON GLD PLT","HIF3FB-26DA-2.54DSA(71)"
"R1,R2,R3","10KÎ©","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3","","","Resistor, small symbol",""
"U1","65C02","Package_DIP:DIP-40_W15.24mm","1","","955-W65C02S6TPG-14","8-bit CMOS General Purpose Microprocessor, DIP-40","W65C02S6TPG-14"
"U2","Z8530","Package_DIP:DIP-40_W15.24mm","1","","","SCC Serial Communication Controller, DIP-40",""
"U3","2764","Package_DIP:DIP-28_W15.24mm","1","AT28C64B-15PU-ND","556-AT28C64B15PU","EPROM 64 KiBit","AT28C64B-15PU"
"U4","6264","library:DIP-28_WW7.62mm-15.24mm","1","1450-1036-ND","913-AS6C6264-55PCN","SRAM 64K, 2.7-5.5V, 55ns 8K x 8 Asynch SRAM","AS6C6264-55PCN"
"U5,U6,U7","74HCT374","Package_DIP:DIP-20_W7.62mm","3","296-1617-5-ND","595-SN74HCT374N","8-bit Register, 3-state outputs","SN74HCT374N"
"U8","74HCT245","Package_DIP:DIP-20_W7.62mm","1","296-1612-5-ND","595-SN74HCT245N","Octal BUS Transceivers, 3-State outputs","SN74HCT245N"
"U9","74AHCT138","Package_DIP:DIP-16_W7.62mm","1","296-4666-5-ND","595-SN74AHCT138N","Decoder 3 to 8 active low outputs","SN74AHCT138N"
"U10","74HCT367","Package_DIP:DIP-16_W7.62mm","1","296-2113-5-ND","595-CD74HCT367E","Hex Bus Driver 3-state outputs","CD74HCT367E"
"U11,U15","74HCT74","Package_DIP:DIP-14_W7.62mm","2","296-1625-5-ND","595-SN74HC74N","Dual D Flip-flop, Set & Reset","SN74HCT74N"
"U12","74HCT32","Package_DIP:DIP-14_W7.62mm","1","296-2112-5-ND","595-CD74HCT112E","Quad 2-input OR","CD74HCT32E"
"U13,U14","74HCT00","Package_DIP:DIP-14_W7.62mm","2","296-2081-5-ND","595-SN74HCT00N","quad 2-input NAND gate","CD74HCT00E"
"U16","74HCT112","Package_DIP:DIP-16_W7.62mm","1","296-9248-5-ND","595-CD74HCT112E","dual JK Flip-Flop, Set & Reset","CD74HCT112E"
"U17","3.6864MHz","library:Oscillator_DIP-8-14","1","X941-ND","774-MXO45-3C-3.6","HCMOS Crystal Clock Oscillator, DIP14-style metal package","ECS-100AX-036"
"U18","X2444","Package_DIP:DIP-8_W7.62mm","1","CAT24C44LI-ND","","",""
